market,edge,odds,model_prob,predicted_goals,actual_goals,won,profit_1u
Under 2.5,0.10753424657534244,2.92,0.44999999999999996,2.65,5.0,False,-1.0
Under 2.5,0.21520467836257318,1.71,0.8,1.28,3.0,False,-1.0
Over 2.5,0.07830188679245292,2.12,0.55,2.56,3.0,True,1.12
Under 2.5,0.13186528497409322,1.93,0.65,2.33,2.0,True,0.9299999999999999
Over 2.5,0.08502824858757063,1.77,0.65,3.48,1.0,False,-1.0
Under 2.5,0.11808510638297876,1.88,0.65,2.16,4.0,False,-1.0
Over 2.5,0.09751381215469612,1.81,0.65,3.42,3.0,True,0.81
Under 2.5,0.22264957264957264,2.34,0.65,2.28,3.0,False,-1.0
Under 2.5,0.11236559139784952,1.86,0.65,2.29,2.0,True,0.8600000000000001
Under 2.5,0.17153110047846887,2.09,0.65,2.13,3.0,False,-1.0
Over 2.5,0.008974358974359053,1.56,0.65,3.11,5.0,True,0.56
Under 2.5,0.045141700404858265,2.47,0.44999999999999996,2.81,1.0,True,1.4700000000000002
Under 2.5,0.07121212121212117,2.64,0.44999999999999996,2.74,2.0,True,1.6400000000000001
Under 2.5,0.16671388101982998,3.53,0.44999999999999996,2.5,4.0,False,-1.0
Over 2.5,0.043939393939393945,1.65,0.65,3.48,4.0,True,0.6499999999999999
Over 2.5,0.12368421052631584,1.9,0.65,3.38,2.0,False,-1.0
Over 2.5,0.10555555555555562,2.25,0.55,2.58,5.0,True,1.25
Under 2.5,0.009036144578313282,4.15,0.25,3.98,5.0,False,-1.0
Under 2.5,0.011403508771929749,2.28,0.44999999999999996,2.5,4.0,False,-1.0
Under 2.5,0.2318181818181818,1.76,0.8,1.74,2.0,True,0.76
Under 2.5,0.14494949494949494,1.98,0.65,2.29,1.0,True,0.98
Over 2.5,0.013057324840764384,1.57,0.65,3.17,4.0,True,0.5700000000000001
Over 2.5,0.05828402366863905,1.69,0.65,3.42,4.0,True,0.69
Under 2.5,0.09751381215469612,1.81,0.65,2.24,2.0,True,0.81
Over 2.5,0.09134078212290508,1.79,0.65,3.43,3.0,True,0.79
Under 2.5,0.17106918238993718,1.59,0.8,1.8,2.0,True,0.5900000000000001
Under 2.5,0.02446808510638293,2.35,0.44999999999999996,2.62,3.0,False,-1.0
Under 2.5,0.20947136563876656,2.27,0.65,2.04,2.0,True,1.27
Under 2.5,0.12916666666666665,1.92,0.65,2.44,4.0,False,-1.0
Over 2.5,0.06923076923076932,2.08,0.55,2.63,5.0,True,1.08
Under 2.5,0.15000000000000002,2.0,0.65,2.45,3.0,False,-1.0
Over 2.5,0.11305732484076436,1.57,0.75,3.69,6.0,True,0.5700000000000001
Over 2.5,0.0092592592592593,1.35,0.75,3.53,1.0,False,-1.0
Over 2.5,0.061764705882352944,1.7,0.65,3.47,5.0,True,0.7
Under 2.5,0.10986394557823126,2.94,0.44999999999999996,2.93,0.0,True,1.94
Under 2.5,0.12089947089947084,1.89,0.65,2.43,3.0,False,-1.0
Under 2.5,0.2318181818181818,1.76,0.8,1.96,2.0,True,0.76
Over 2.5,0.08181818181818179,1.76,0.65,3.43,2.0,False,-1.0
Under 2.5,0.10355191256830609,1.83,0.65,2.49,9.0,False,-1.0
Under 2.5,0.23820224719101124,1.78,0.8,1.84,5.0,False,-1.0
Under 2.5,0.13717948717948714,1.95,0.65,2.22,2.0,True,0.95
Over 2.5,0.14839357429718886,2.49,0.55,2.59,2.0,False,-1.0
Over 2.5,0.003551912568306115,1.83,0.55,2.79,5.0,True,0.8300000000000001
Under 2.5,0.1783018867924529,2.12,0.65,2.4,2.0,True,1.12
Under 2.5,0.3555555555555556,2.25,0.8,1.58,2.0,True,1.25
Under 2.5,0.18271604938271613,1.62,0.8,1.26,3.0,False,-1.0
Over 2.5,0.07528735632183914,1.74,0.65,3.4,2.0,False,-1.0
Under 2.5,0.18917050691244242,2.17,0.65,2.43,3.0,False,-1.0
Over 2.5,0.03453608247422679,1.94,0.55,2.55,3.0,True,0.94
Over 2.5,0.11305732484076436,1.57,0.75,3.5,2.0,False,-1.0
Under 2.5,0.10054945054945064,1.82,0.65,2.2,4.0,False,-1.0
Under 2.5,0.04183673469387755,2.45,0.44999999999999996,2.6,2.0,True,1.4500000000000002
Under 2.5,0.13186528497409322,1.93,0.65,2.08,2.0,True,0.9299999999999999
Under 2.5,0.2754681647940075,2.67,0.65,2.34,4.0,False,-1.0
Over 2.5,0.054950495049505,2.02,0.55,2.76,3.0,True,1.02
Over 2.5,0.19128440366972482,2.18,0.65,3.33,6.0,True,1.1800000000000002
Over 2.5,0.05555555555555558,1.44,0.75,3.62,4.0,True,0.43999999999999995
Under 2.5,0.3098639455782313,2.94,0.65,2.3,1.0,True,1.94
Over 2.5,0.08774834437086088,1.51,0.75,3.71,5.0,True,0.51
Over 2.5,0.04078014184397161,1.41,0.75,3.69,4.0,True,0.4099999999999999
Over 2.5,0.057389162561576335,2.03,0.55,2.73,1.0,False,-1.0
Under 2.5,0.22983193277310926,2.38,0.65,2.34,7.0,False,-1.0
Under 2.5,0.22805907172995787,2.37,0.65,2.49,3.0,False,-1.0
Under 2.5,0.00034965034965028785,2.86,0.35,3.2,3.0,False,-1.0
Under 2.5,0.028881987577639823,1.61,0.65,2.48,2.0,True,0.6100000000000001
Under 2.5,0.23820224719101124,1.78,0.8,1.5,0.0,True,0.78
Over 2.5,0.08333333333333337,1.5,0.75,3.86,3.0,True,0.5
Over 2.5,0.07885906040268453,1.49,0.75,3.66,3.0,True,0.49
Over 2.5,0.07830188679245292,2.12,0.55,2.59,3.0,True,1.12
Under 2.5,0.1865030674846626,1.63,0.8,1.73,4.0,False,-1.0
Over 2.5,0.09751381215469612,1.81,0.65,3.32,2.0,False,-1.0
Under 2.5,0.020815450643776767,2.33,0.44999999999999996,2.5,1.0,True,1.33
Under 2.5,0.009863945578231281,2.94,0.35,3.46,1.0,True,1.94
Under 2.5,0.1573891625615763,2.03,0.65,2.38,2.0,True,1.0299999999999998
Under 2.5,0.04879518072289152,3.32,0.35,3.39,3.0,False,-1.0
Under 2.5,0.22196531791907514,1.73,0.8,1.32,1.0,True,0.73
Over 2.5,0.029166666666666674,1.92,0.55,2.61,1.0,False,-1.0
Over 2.5,0.013057324840764384,1.57,0.65,3.45,0.0,False,-1.0
Over 2.5,0.12106918238993714,1.59,0.75,3.74,2.0,False,-1.0
Under 2.5,0.07528735632183914,1.74,0.65,2.33,2.0,True,0.74
Over 2.5,0.1402439024390244,1.64,0.75,3.63,4.0,True,0.6399999999999999
Over 2.5,0.10483870967741937,1.55,0.75,3.79,2.0,False,-1.0
Under 2.5,0.224468085106383,2.35,0.65,2.49,3.0,False,-1.0
Over 2.5,0.008974358974359053,1.56,0.65,3.02,5.0,True,0.56
Over 2.5,0.1288819875776398,1.61,0.75,3.59,3.0,True,0.6100000000000001
Over 2.5,0.125,1.6,0.75,3.69,4.0,True,0.6000000000000001
Over 2.5,0.12916666666666665,1.92,0.65,3.01,2.0,False,-1.0
Under 2.5,0.3166666666666667,3.0,0.65,2.4,2.0,True,2.0
Over 2.5,0.040243902439024426,1.64,0.65,3.37,2.0,False,-1.0
Under 2.5,0.25054945054945066,1.82,0.8,1.99,3.0,False,-1.0
Over 2.5,0.0475903614457831,1.66,0.65,3.38,1.0,False,-1.0
Over 2.5,0.21524064171123003,1.87,0.75,3.7,3.0,True,0.8700000000000001
Under 2.5,0.24514170040485833,2.47,0.65,2.0,2.0,True,1.4700000000000002
Over 2.5,0.13271604938271608,1.62,0.75,4.01,1.0,False,-1.0
Under 2.5,0.23158995815899586,2.39,0.65,2.48,4.0,False,-1.0
Under 2.5,0.20357142857142863,2.24,0.65,2.21,3.0,False,-1.0
Under 2.5,0.011403508771929749,2.28,0.44999999999999996,2.51,3.0,False,-1.0
Under 2.5,0.08262032085561499,3.74,0.35,3.48,7.0,False,-1.0
Over 2.5,0.05476190476190479,1.68,0.65,3.43,1.0,False,-1.0
Over 2.5,0.19134078212290506,1.79,0.75,3.83,1.0,False,-1.0
Under 2.5,0.10355191256830609,1.83,0.65,2.08,2.0,True,0.8300000000000001
Under 2.5,0.16671388101982998,3.53,0.44999999999999996,2.51,4.0,False,-1.0
Over 2.5,0.0475903614457831,1.66,0.65,3.2,2.0,False,-1.0
Over 2.5,0.05476190476190479,1.68,0.65,3.24,4.0,True,0.6799999999999999
Under 2.5,0.2047619047619048,1.68,0.8,1.76,2.0,True,0.6799999999999999
Under 2.5,0.13186528497409322,1.93,0.65,2.47,3.0,False,-1.0
Under 2.5,0.04839357429718877,2.49,0.44999999999999996,2.8,3.0,False,-1.0
Over 2.5,0.09444444444444444,1.8,0.65,3.31,3.0,True,0.8
Under 2.5,0.12368421052631584,1.9,0.65,2.28,6.0,False,-1.0
Under 2.5,0.05828402366863905,1.69,0.65,2.34,0.0,True,0.69
Under 2.5,0.12432432432432439,1.48,0.8,1.37,1.0,True,0.48
Over 2.5,0.1882022471910112,1.78,0.75,3.85,3.0,True,0.78
Over 2.5,0.22368421052631582,1.9,0.75,3.66,0.0,False,-1.0
Under 2.5,0.07857142857142863,1.75,0.65,2.34,4.0,False,-1.0
Over 2.5,0.21140350877192982,2.28,0.65,3.23,3.0,True,1.2799999999999998
Under 2.5,0.11236559139784952,1.86,0.65,2.42,3.0,False,-1.0
Over 2.5,0.05828402366863905,1.69,0.65,3.35,5.0,True,0.69
Over 2.5,0.12089947089947084,1.89,0.65,3.21,2.0,False,-1.0
Over 2.5,0.0006493506493506773,1.54,0.65,3.47,1.0,False,-1.0
Under 2.5,0.14640522875816997,1.53,0.8,1.96,1.0,True,0.53
Over 2.5,0.09751381215469612,1.81,0.65,3.24,3.0,True,0.81
Under 2.5,0.12643979057591626,1.91,0.65,2.25,3.0,False,-1.0
Under 2.5,0.1760663507109005,2.11,0.65,2.46,5.0,False,-1.0
Over 2.5,0.16860465116279066,1.72,0.75,3.75,1.0,False,-1.0
Over 2.5,0.19444444444444442,1.8,0.75,3.81,4.0,True,0.8
Over 2.5,0.14494949494949494,1.98,0.65,3.44,2.0,False,-1.0
Under 2.5,0.25054945054945066,1.82,0.8,1.41,0.0,True,0.8200000000000001
Under 2.5,0.1865030674846626,1.63,0.8,1.53,1.0,True,0.6299999999999999
Under 2.5,0.08502824858757063,1.77,0.65,2.27,1.0,True,0.77
Over 2.5,0.0475903614457831,1.66,0.65,3.3,2.0,False,-1.0
Under 2.5,0.08181818181818179,1.76,0.65,2.17,0.0,True,0.76
Over 2.5,0.029166666666666674,1.92,0.55,2.68,3.0,True,0.9199999999999999
Over 2.5,0.12643979057591626,1.91,0.65,3.12,2.0,False,-1.0
Over 2.5,0.06456310679611654,2.06,0.55,2.73,2.0,False,-1.0
Over 2.5,0.021069182389937158,1.59,0.65,3.39,3.0,True,0.5900000000000001
Under 2.5,0.004838709677419395,1.55,0.65,2.27,3.0,False,-1.0
Under 2.5,0.11808510638297876,1.88,0.65,2.24,0.0,True,0.8799999999999999
Under 2.5,0.19337899543378995,2.19,0.65,2.33,4.0,False,-1.0
Over 2.5,0.27153110047846885,2.09,0.75,3.51,2.0,False,-1.0
Over 2.5,0.16690821256038646,2.07,0.65,3.32,1.0,False,-1.0
Over 2.5,0.09444444444444444,1.8,0.65,3.37,2.0,False,-1.0
Over 2.5,0.06923076923076932,2.08,0.55,2.89,1.0,False,-1.0
Under 2.5,0.1630573248407644,1.57,0.8,1.63,1.0,True,0.5700000000000001
Over 2.5,0.1692307692307693,2.08,0.65,3.41,3.0,True,1.08
Over 2.5,0.1848837209302326,2.15,0.65,3.21,4.0,True,1.15
Under 2.5,0.08502824858757063,1.77,0.65,2.31,1.0,True,0.77
Under 2.5,0.18051643192488265,2.13,0.65,2.24,3.0,False,-1.0
Over 2.5,0.003551912568306115,1.83,0.55,2.87,5.0,True,0.8300000000000001
Over 2.5,0.11808510638297876,1.88,0.65,3.39,2.0,False,-1.0
Over 2.5,0.07196531791907512,1.73,0.65,3.02,4.0,True,0.73
Under 2.5,0.11777408637873749,3.01,0.44999999999999996,2.84,5.0,False,-1.0
Under 2.5,0.12368421052631584,1.9,0.65,2.48,2.0,True,0.8999999999999999
Under 2.5,0.08820224719101122,1.78,0.65,2.1,3.0,False,-1.0
Over 2.5,0.14494949494949494,1.98,0.65,3.4,3.0,True,0.98
Under 2.5,0.10054945054945064,1.82,0.65,2.31,2.0,True,0.8200000000000001
Over 2.5,0.22089947089947082,1.89,0.75,3.93,5.0,True,0.8899999999999999
Under 2.5,0.3345425867507887,3.17,0.65,2.46,1.0,True,2.17
Over 2.5,0.21524064171123003,1.87,0.75,3.51,4.0,True,0.8700000000000001
Over 2.5,0.15317460317460324,2.52,0.55,2.6,2.0,False,-1.0
Under 2.5,0.06860465116279069,1.72,0.65,2.04,2.0,True,0.72
Under 2.5,0.07196531791907512,1.73,0.65,2.34,2.0,True,0.73
Over 2.5,0.06219512195121951,2.05,0.55,2.61,2.0,False,-1.0
Over 2.5,0.23717948717948711,1.95,0.75,3.66,3.0,True,0.95
Under 2.5,0.22196531791907514,1.73,0.8,1.94,0.0,True,0.73
Over 2.5,0.025000000000000022,1.6,0.65,3.25,8.0,True,0.6000000000000001
Over 2.5,0.14759036144578308,1.66,0.75,3.65,2.0,False,-1.0
Under 2.5,0.22064220183486236,4.36,0.44999999999999996,2.79,5.0,False,-1.0
Over 2.5,0.20945945945945954,1.85,0.75,3.52,2.0,False,-1.0
Under 2.5,0.22264957264957264,2.34,0.65,2.32,5.0,False,-1.0
Over 2.5,0.18181818181818177,1.76,0.75,3.52,3.0,True,0.76
Over 2.5,0.22916666666666663,1.92,0.75,3.51,3.0,True,0.9199999999999999
Under 2.5,0.2152173913043478,2.3,0.65,2.43,3.0,False,-1.0
Over 2.5,0.1423857868020305,1.97,0.65,3.43,7.0,True,0.97
Over 2.5,0.028881987577639823,1.61,0.65,3.32,2.0,False,-1.0
Under 2.5,0.0475903614457831,1.66,0.65,2.07,1.0,True,0.6599999999999999
Over 2.5,0.11236559139784952,1.86,0.65,3.13,5.0,True,0.8600000000000001
Over 2.5,0.1402439024390244,1.64,0.75,3.54,6.0,True,0.6399999999999999
Over 2.5,0.04078014184397161,1.41,0.75,3.69,7.0,True,0.4099999999999999
Over 2.5,0.0006493506493506773,1.54,0.65,3.44,4.0,True,0.54
Under 2.5,0.22081545064377683,2.33,0.65,2.07,4.0,False,-1.0
Over 2.5,0.02007299270072993,1.37,0.75,3.7,2.0,False,-1.0
Under 2.5,0.001569506726457337,2.23,0.44999999999999996,2.61,3.0,False,-1.0
Under 2.5,0.27089947089947086,1.89,0.8,1.97,3.0,False,-1.0
Over 2.5,0.09134078212290508,1.79,0.65,3.29,7.0,True,0.79
Under 2.5,0.23333333333333334,2.4,0.65,2.24,6.0,False,-1.0
Over 2.5,0.09640522875816993,1.53,0.75,3.57,4.0,True,0.53
Over 2.5,0.13650306748466257,1.63,0.75,3.66,1.0,False,-1.0
Under 2.5,0.20828402366863907,1.69,0.8,1.27,2.0,True,0.69
Under 2.5,0.07196531791907512,1.73,0.65,2.4,0.0,True,0.73
Over 2.5,0.1288819875776398,1.61,0.75,3.65,3.0,True,0.6100000000000001
Under 2.5,0.043939393939393945,1.65,0.65,2.32,3.0,False,-1.0
Under 2.5,0.41685823754789275,2.61,0.8,1.9,3.0,False,-1.0
Under 2.5,0.0475903614457831,1.66,0.65,2.0,2.0,True,0.6599999999999999
Under 2.5,0.30000000000000004,2.0,0.8,1.64,2.0,True,1.0
Under 2.5,0.12432432432432439,1.48,0.8,1.54,2.0,True,0.48
Over 2.5,0.14759036144578308,1.66,0.75,3.71,3.0,True,0.6599999999999999
Under 2.5,0.2075221238938053,2.26,0.65,2.35,3.0,False,-1.0
Under 2.5,0.20947136563876656,2.27,0.65,2.48,7.0,False,-1.0
Over 2.5,0.06456310679611654,2.06,0.55,2.59,2.0,False,-1.0
Under 2.5,0.22528735632183916,1.74,0.8,1.28,0.0,True,0.74
Over 2.5,0.08181818181818179,1.76,0.65,3.43,4.0,True,0.76
Under 2.5,0.34337899543378997,2.19,0.8,1.88,5.0,False,-1.0
Over 2.5,0.16176470588235292,1.7,0.75,3.52,1.0,False,-1.0
Over 2.5,0.05555555555555558,1.44,0.75,3.75,2.0,False,-1.0
Under 2.5,0.21140350877192982,2.28,0.65,2.23,1.0,True,1.2799999999999998
Over 2.5,0.0475903614457831,1.66,0.65,3.48,2.0,False,-1.0
Over 2.5,0.14759036144578308,1.66,0.75,3.51,0.0,False,-1.0
Under 2.5,0.008974358974359053,1.56,0.65,2.26,1.0,True,0.56
Under 2.5,0.17888198757763984,1.61,0.8,1.77,2.0,True,0.6100000000000001
Under 2.5,0.08503649635036492,2.74,0.44999999999999996,2.59,5.0,False,-1.0
Under 2.5,0.1865030674846626,1.63,0.8,1.97,1.0,True,0.6299999999999999
Over 2.5,0.09751381215469612,1.81,0.65,3.46,5.0,True,0.81
Over 2.5,0.16520467836257313,1.71,0.75,3.66,3.0,True,0.71
Over 2.5,0.052487562189054704,2.01,0.55,2.58,2.0,False,-1.0
Over 2.5,0.17528735632183912,1.74,0.75,3.61,4.0,True,0.74
Under 2.5,0.05119760479041913,1.67,0.65,2.15,6.0,False,-1.0
Over 2.5,0.22916666666666663,1.92,0.75,3.7,2.0,False,-1.0
Under 2.5,0.2680851063829788,1.88,0.8,1.77,3.0,False,-1.0
Over 2.5,0.043939393939393945,1.65,0.65,3.33,0.0,False,-1.0
Over 2.5,0.1621951219512195,2.05,0.65,3.06,1.0,False,-1.0
Over 2.5,0.04577464788732388,1.42,0.75,3.59,2.0,False,-1.0
Under 2.5,0.10355191256830609,1.83,0.65,2.06,3.0,False,-1.0
Under 2.5,0.12643979057591626,1.91,0.65,2.37,3.0,False,-1.0
Over 2.5,0.06456310679611654,2.06,0.55,2.99,3.0,True,1.06
Over 2.5,0.0475903614457831,1.66,0.65,3.34,3.0,True,0.6599999999999999
Over 2.5,0.10355191256830609,1.83,0.65,3.43,5.0,True,0.8300000000000001
Over 2.5,0.013057324840764384,1.57,0.65,3.41,1.0,False,-1.0
Over 2.5,0.08271028037383182,2.14,0.55,2.66,2.0,False,-1.0
Over 2.5,0.1882022471910112,1.78,0.75,3.61,2.0,False,-1.0
Over 2.5,0.1785714285714286,1.75,0.75,3.51,3.0,True,0.75
Under 2.5,0.24016393442622952,2.44,0.65,2.39,3.0,False,-1.0
Under 2.5,0.13152866242038214,3.14,0.44999999999999996,2.78,2.0,True,2.14
Under 2.5,0.16456310679611652,2.06,0.65,2.27,3.0,False,-1.0
Over 2.5,0.03979591836734697,1.96,0.55,2.63,0.0,False,-1.0
Under 2.5,0.11808510638297876,1.88,0.65,2.43,4.0,False,-1.0
Over 2.5,0.1954545454545455,2.2,0.65,3.07,2.0,False,-1.0
Over 2.5,0.018085106382978777,1.88,0.55,2.51,2.0,False,-1.0
Over 2.5,0.028881987577639823,1.61,0.65,3.47,5.0,True,0.6100000000000001
Under 2.5,0.1630573248407644,1.57,0.8,1.85,1.0,True,0.5700000000000001
Over 2.5,0.0006493506493506773,1.54,0.65,3.31,3.0,True,0.54
Under 2.5,0.15897435897435908,1.56,0.8,1.75,6.0,False,-1.0
Over 2.5,0.05555555555555558,1.44,0.75,3.81,3.0,True,0.43999999999999995
Over 2.5,0.06860465116279069,1.72,0.65,3.24,4.0,True,0.72
Over 2.5,0.15000000000000002,2.5,0.55,2.5,1.0,False,-1.0
Under 2.5,0.021069182389937158,1.59,0.65,2.28,3.0,False,-1.0
Under 2.5,0.19024390243902445,1.64,0.8,1.95,5.0,False,-1.0
Over 2.5,0.07380952380952388,2.1,0.55,2.56,1.0,False,-1.0
Under 2.5,0.13453608247422677,1.94,0.65,2.48,2.0,True,0.94
Over 2.5,0.15476190476190477,1.68,0.75,3.55,0.0,False,-1.0
Under 2.5,0.1621951219512195,2.05,0.65,2.48,3.0,False,-1.0
Over 2.5,0.12089947089947084,1.89,0.65,3.45,2.0,False,-1.0
Over 2.5,0.07196531791907512,1.73,0.65,3.49,3.0,True,0.73
Over 2.5,0.1882022471910112,1.78,0.75,3.67,4.0,True,0.78
Over 2.5,0.1511976047904191,1.67,0.75,3.57,3.0,True,0.6699999999999999
Over 2.5,0.22368421052631582,1.9,0.75,3.71,5.0,True,0.8999999999999999
Under 2.5,0.21520467836257318,1.71,0.8,1.92,0.0,True,0.71
